world,humans,coordinator,episodes,success,makespan,sum_of_costs,min_human_robot_dist,time_near_humans,human_encounters,replans,stuck_time,deadlock_time,robot_collision
depot,0,adg_cbs,5,1.0,144.0,567.4,nan,0.0,0.0,24.0,195.08,4.680000000000004,0.0
depot,0,ha_cbs,5,1.0,144.0,567.4,nan,0.0,0.0,24.0,195.08,4.680000000000004,0.0
depot,0,mapf,5,0.4,145.24,562.8,nan,0.0,0.0,267.4,192.12000000000003,6.519999999999999,0.6
depot,0,pbc,5,1.0,140.28,552.6400000000001,nan,0.0,0.0,0.0,185.87999999999997,2.479999999999998,0.0
narrow_corridors,0,adg_cbs,5,1.0,111.16000000000001,454.0400000000001,nan,0.0,0.0,22.2,166.07999999999998,0.0,0.0
narrow_corridors,0,ha_cbs,5,1.0,111.16000000000001,454.0400000000001,nan,0.0,0.0,22.2,166.07999999999998,0.0,0.0
narrow_corridors,0,mapf,5,0.2,110.08,444.32,nan,0.0,0.0,201.8,159.16,2.7600000000000025,0.8
narrow_corridors,0,pbc,5,0.8,137.35,495.44999999999993,nan,0.0,0.0,0.0,373.76,53.120000000000005,0.0
