world,humans,sample,coordinator,wall_time,success,all_arrived,robot_collision,robots_arrived,makespan,sum_of_costs,min_robot_robot_dist,min_human_robot_dist,time_near_humans,human_encounters,stuck_time,deadlock_time,replans,solver_calls,episode_time,stat_solver_time,stat_local_repairs,stat_coupled_repairs,stat_global_replans,stat_repair_failures,stat_rejected_repairs,stat_kept_plans,stat_blocked_triggers,stat_risk_triggers,stat_step_duration,stat_solver_failures
depot,0,3,mapf,3.753593683242798,1.0,1.0,0.0,5.0,93.0,373.0,1.16,nan,0.0,0.0,14.399999999999999,0.0,171.0,172.0,94.2,0.019453900000000007,,,,,,,,,,0
depot,0,3,pbc,4.4505908489227295,1.0,1.0,0.0,5.0,93.6,369.19999999999993,1.1546852384957553,nan,0.0,0.0,10.600000000000003,0.0,0.0,0.0,94.8,,,,,,,,,,,
depot,0,4,adg_cbs,0.3941636085510254,1.0,1.0,0.0,5.0,90.4,365.6,1.16,nan,0.0,0.0,7.399999999999995,0.0,1.0,2.0,91.4,0.0004467,1,0,0,0,0,0,1,0,2.557461385958003,
depot,0,4,ha_cbs,0.578045129776001,1.0,1.0,0.0,5.0,90.4,365.6,1.16,nan,0.0,0.0,7.399999999999995,0.0,1.0,2.0,91.4,0.0005991999999999999,1,0,0,0,0,0,1,0,2.557461385958003,
depot,0,4,ha_cbs_mod,0.5717456340789795,1.0,1.0,0.0,5.0,90.4,365.6,1.16,nan,0.0,0.0,7.399999999999995,0.0,1.0,2.0,91.4,0.0004772,1,0,0,0,0,0,1,0,2.557461385958003,
depot,0,4,ha_cbs_norepair,0.4509775638580322,1.0,1.0,0.0,5.0,90.4,365.6,1.16,nan,0.0,0.0,7.399999999999995,0.0,0.0,1.0,91.4,0.0003378,0,0,0,0,0,0,0,0,2.5575226367840487,
depot,0,4,mapf,3.760690927505493,1.0,1.0,0.0,5.0,92.8,366.6,1.0913807768143982,nan,0.0,0.0,7.800000000000001,0.0,170.0,171.0,94.0,0.018793899999999995,,,,,,,,,,0
depot,0,4,pbc,4.175374984741211,1.0,1.0,0.0,5.0,89.8,357.4,1.041491718642064,nan,0.0,0.0,5.0000000000000036,0.0,0.0,0.0,91.0,,,,,,,,,,,
depot,5,0,adg_cbs,0.764061450958252,1.0,1.0,0.0,5.0,98.6,382.79999999999995,1.16,0.09871676655968843,19.0,7.0,8.199999999999996,0.0,1.0,2.0,99.8,0.00033509999999999996,1,0,0,0,0,0,1,0,2.8710120355152564,
depot,5,0,ha_cbs,1.4015483856201172,1.0,1.0,0.0,5.0,100.0,383.59999999999997,1.1600000000000001,0.09871676655968843,19.400000000000006,8.0,13.000000000000007,0.0,1.0,2.0,101.2,0.0066612,1,0,0,0,0,0,1,0,2.7367084723016286,
depot,5,0,ha_cbs_mod,10.403895378112793,1.0,1.0,0.0,5.0,106.2,389.8,1.1374752744565482,0.09871676655968843,28.600000000000023,9.0,12.400000000000006,0.0,2.0,11.0,107.4,0.0058454,1,1,0,0,0,3,1,4,2.7639317853035767,
depot,5,0,ha_cbs_norepair,0.8119463920593262,1.0,1.0,0.0,5.0,99.0,382.59999999999997,1.1600000000000001,0.09871676655968843,19.400000000000006,7.0,12.400000000000006,0.0,0.0,1.0,100.2,0.0098193,0,0,0,0,0,0,0,0,2.73520948492792,
depot,5,0,mapf,3.9379429817199707,1.0,1.0,0.0,5.0,92.8,384.99999999999994,1.16,0.18454538737123727,17.79999999999997,5.0,7.400000000000002,0.0,171.0,172.0,94.2,0.019860199999999984,,,,,,,,,,0
depot,5,0,pbc,4.562213897705078,1.0,1.0,0.0,5.0,90.8,379.79999999999995,1.0667919197294287,0.07102816342831986,23.200000000000003,6.0,7.599999999999998,0.0,0.0,0.0,92.0,,,,,,,,,,,
depot,5,1,adg_cbs,0.7755491733551025,1.0,1.0,0.0,5.0,95.4,384.79999999999995,1.16,0.24813101378102587,6.6000000000000005,1.0,5.200000000000003,0.0,0.0,1.0,96.6,0.0004006,0,0,0,0,0,0,0,0,3.026480829212445,
depot,5,1,ha_cbs,1.3067517280578613,1.0,1.0,0.0,5.0,104.2,394.0,1.1600000000000001,0.24813101378102587,11.999999999999993,1.0,5.200000000000003,0.0,0.0,1.0,105.4,0.0037306,0,0,0,0,0,0,0,0,3.494397440025784,
depot,5,1,ha_cbs_mod,9.052996635437012,1.0,1.0,0.0,5.0,88.6,382.19999999999993,1.1471342554383073,0.24813101378102587,6.6000000000000005,1.0,5.200000000000003,0.0,0.0,5.0,89.8,0.010448599999999999,0,0,0,0,0,2,0,2,2.744480718560097,
depot,5,1,ha_cbs_norepair,0.8045063018798828,1.0,1.0,0.0,5.0,104.2,394.0,1.1600000000000001,0.24813101378102587,11.999999999999993,1.0,5.200000000000003,0.0,0.0,1.0,105.4,0.0033059,0,0,0,0,0,0,0,0,3.494397440025784,
depot,5,1,mapf,3.955408811569214,1.0,1.0,0.0,5.0,94.6,371.0,1.16,0.5253808142671371,3.7999999999999963,0.0,4.600000000000001,0.0,174.0,175.0,96.0,0.02294969999999999,,,,,,,,,,0
depot,5,1,pbc,4.34874963760376,1.0,1.0,0.0,5.0,93.8,375.4,1.16,0.13953135848260073,11.600000000000001,2.0,2.599999999999998,0.0,0.0,0.0,95.0,,,,,,,,,,,
