world,humans,sample,w,status,runtime_s,objective,hl_expanded
depot,0,4,1.0,success,0.0002661,133.0,3
depot,0,4,1.05,success,0.0002507,133.0,3
depot,0,4,1.1,success,0.0002203,133.0,3
depot,0,4,1.2,success,0.0004152,133.0,3
depot,0,4,1.5,success,0.0002529,133.0,3
depot,10,0,1.0,timeout,10.1651461,,27864
depot,10,0,1.05,success,6.1512691,169.184,16923
depot,10,0,1.1,success,0.0266901,169.184,92
depot,10,0,1.2,success,0.0272238,169.184,92
depot,10,0,1.5,success,0.0272402,169.184,92
depot,10,1,1.0,timeout,10.1705003,,30929
depot,10,1,1.05,success,5.6964266,169.669,15549
depot,10,1,1.1,success,0.0450075,169.681,129
depot,10,1,1.2,success,0.0376069,169.681,129
depot,10,1,1.5,success,0.0366568,169.681,129
depot,10,2,1.0,timeout,10.1512675,,31729
depot,10,2,1.05,success,3.1216739,169.729,10642
depot,10,2,1.1,success,0.0367244,169.729,126
depot,10,2,1.2,success,0.0366625,169.729,126
depot,10,2,1.5,success,0.0389994,169.729,126
depot,10,3,1.0,timeout,10.1369368,,28081
depot,10,3,1.05,success,4.0206181,169.021,12849
depot,10,3,1.1,success,0.0358852,171.062,112
depot,10,3,1.2,success,0.0338363,171.062,112
depot,10,3,1.5,success,0.0350585,171.062,112
depot,10,4,1.0,timeout,10.1476993,,27170
depot,10,4,1.05,success,5.431972,169.639,16210
depot,10,4,1.1,success,0.0253065,169.647,88
depot,10,4,1.2,success,0.0252721,169.647,88
depot,10,4,1.5,success,0.0255643,169.647,88
depot,20,0,1.0,timeout,10.0844194,,17752
depot,20,0,1.05,timeout,10.1085543,,18589
depot,20,0,1.1,success,0.0158673,190.169,28
depot,20,0,1.2,success,0.0161264,190.169,28
depot,20,0,1.5,success,0.0153168,190.169,28
depot,20,1,1.0,timeout,10.1078646,,19858
depot,20,1,1.05,timeout,10.107236,,18743
depot,20,1,1.1,success,0.015052,191.329,28
depot,20,1,1.2,success,0.0154191,191.329,28
depot,20,1,1.5,success,0.0156937,191.329,28
